,timestamp,lp
2023-06-28 16:39:48.612354,,5587.0
2023-06-28 16:39:52.298788,,5588.0
2023-06-28 16:39:54.508600,,5586.0
2023-06-28 16:40:00.020414,,5585.0
2023-06-28 16:40:02.935176,,5586.0
2023-06-28 16:40:04.352299,,5587.0
2023-06-28 16:40:08.453711,,5586.0
2023-06-28 16:40:13.345238,,5587.0
2023-06-28 16:40:17.872880,,5584.0
2023-06-28 16:40:21.357435,,5586.0
2023-06-28 16:40:25.348289,,5587.0
2023-06-28 16:40:27.234643,,5586.0
2023-06-28 16:40:29.164716,,5585.0
2023-06-28 16:40:30.970605,,5587.0
2023-06-28 16:40:37.183234,,5586.0
2023-06-28 16:40:41.292919,,5585.0
2023-06-28 16:40:46.291705,,5584.0
2023-06-28 16:40:46.614970,,5583.0
2023-06-28 16:40:49.403948,,5582.0
2023-06-28 16:40:55.628973,,5583.0
2023-06-28 16:41:00.674439,,5584.0
2023-06-28 16:41:12.671015,,5586.0
2023-06-28 16:41:16.486147,,5587.0
2023-06-28 16:41:23.789254,,5585.0
2023-06-28 16:41:28.894287,,5584.0
2023-06-28 16:41:34.581503,,5585.0
2023-06-28 16:41:40.663125,,5583.0
2023-06-28 16:41:40.971241,,5585.0
2023-06-28 16:42:08.480813,,5586.0
2023-06-28 16:42:17.666756,,5587.0
2023-06-28 16:42:25.353841,,5588.0
2023-06-28 16:42:31.191235,,5591.0
2023-06-28 16:42:33.598420,,5590.0
2023-06-28 16:42:38.619421,,5591.0
2023-06-28 16:42:44.666956,,5592.0
2023-06-28 16:42:53.469524,,5593.0
2023-06-28 16:42:58.287879,,5592.0
2023-06-28 16:43:02.068385,,5593.0
2023-06-28 16:43:06.278649,,5590.0
2023-06-28 16:43:16.964642,,5589.0
2023-06-28 16:43:22.502806,,5591.0
2023-06-28 16:43:48.170084,,5592.0
2023-06-28 16:43:50.336567,,5593.0
2023-06-28 16:43:54.111125,,5592.0
2023-06-28 16:43:57.136611,,5591.0
2023-06-28 16:44:10.046018,,5590.0
2023-06-28 16:44:13.568478,,5591.0
2023-06-28 16:44:20.059823,,5592.0
2023-06-28 16:44:20.992231,,5591.0
2023-06-28 16:44:30.989508,,5590.0
2023-06-28 16:44:31.995561,,5591.0
2023-06-28 16:44:35.400319,,5589.0
2023-06-28 16:44:36.798197,,5590.0
2023-06-28 16:44:39.594841,,5589.0
2023-06-28 16:44:39.998406,,5590.0
2023-06-28 16:44:55.427718,,5592.0
2023-06-28 16:45:01.843907,,5590.0
2023-06-28 16:45:04.253416,,5589.0
2023-06-28 16:45:17.864129,,5590.0
2023-06-28 16:45:34.287000,,5589.0
2023-06-28 16:45:35.079640,,5588.0
2023-06-28 16:45:35.900763,,5587.0
2023-06-28 16:45:36.685710,,5585.0
2023-06-28 16:45:40.138406,,5587.0
2023-06-28 16:45:52.709645,,5586.0
2023-06-28 16:45:54.432995,,5585.0
2023-06-28 16:45:57.039740,,5584.0
2023-06-28 16:45:57.914396,,5583.0
2023-06-28 16:45:58.714075,,5584.0
2023-06-28 16:46:00.521693,,5585.0
2023-06-28 16:46:01.125149,,5583.0
2023-06-28 16:46:07.346744,,5584.0
2023-06-28 16:46:16.957559,,5585.0
2023-06-28 16:46:19.440027,,5586.0
2023-06-28 16:46:19.757911,,5587.0
2023-06-28 16:46:31.934729,,5586.0
2023-06-28 16:46:33.183491,,5588.0
2023-06-28 16:46:36.044943,,5586.0
2023-06-28 16:46:39.972592,,5587.0
2023-06-28 16:46:47.990431,,5588.0
2023-06-28 16:46:49.125105,,5587.0
2023-06-28 16:47:02.858290,,5588.0
2023-06-28 16:47:12.628470,,5586.0
2023-06-28 16:47:34.126785,,5590.0
2023-06-28 16:48:02.472843,,5586.0
2023-06-28 16:48:51.061295,,5587.0
2023-06-28 16:49:14.291932,,5585.0
2023-06-28 16:49:17.871447,,5584.0
2023-06-28 16:49:25.184971,,5585.0
2023-06-28 16:49:29.605141,,5584.0
2023-06-28 16:49:31.796298,,5583.0
2023-06-28 16:49:34.608650,,5584.0
2023-06-28 16:49:47.113792,,5583.0
2023-06-28 16:49:53.798968,,5584.0
2023-06-28 16:50:16.799101,,5583.0
2023-06-28 16:50:24.674442,,5582.0
2023-06-28 16:50:45.920944,,5581.0
2023-06-28 16:50:48.752325,,5582.0
2023-06-28 16:51:04.330172,,5579.0
2023-06-28 16:51:13.152271,,5578.0
2023-06-28 16:51:28.778010,,5579.0
2023-06-28 16:51:32.181451,,5580.0
2023-06-28 16:51:34.303183,,5578.0
2023-06-28 16:51:41.513005,,5580.0
2023-06-28 16:51:44.204530,,5581.0
2023-06-28 16:52:01.492811,,5579.0
2023-06-28 16:52:07.700044,,5580.0
2023-06-28 16:52:15.275256,,5581.0
2023-06-28 16:52:20.073950,,5580.0
2023-06-28 16:52:24.694270,,5579.0
2023-06-28 16:52:28.099411,,5580.0
2023-06-28 16:52:33.374497,,5582.0
2023-06-28 16:52:36.854535,,5581.0
2023-06-28 16:52:36.951474,,5583.0
2023-06-28 16:52:37.702547,,5585.0
2023-06-28 16:52:46.123309,,5583.0
2023-06-28 16:52:55.336625,,5585.0
2023-06-28 16:52:58.684755,,5586.0
2023-06-28 16:53:08.566007,,5585.0
2023-06-28 16:53:20.372877,,5584.0
2023-06-28 16:53:23.998941,,5583.0
2023-06-28 16:53:38.693631,,5586.0
2023-06-28 16:53:46.187602,,5585.0
2023-06-28 16:54:00.406632,,5586.0
2023-06-28 16:54:01.406147,,5585.0
2023-06-28 16:54:21.258034,,5583.0
2023-06-28 16:54:27.464474,,5584.0
2023-06-28 16:54:28.739906,,5583.0
2023-06-28 16:54:32.181105,,5584.0
2023-06-28 16:54:34.677219,,5585.0
2023-06-28 16:54:34.997020,,5583.0
2023-06-28 16:54:52.671130,,5582.0
2023-06-28 16:55:20.668264,,5580.0
2023-06-28 16:55:36.908555,,5581.0
2023-06-28 16:55:40.338957,,5582.0
2023-06-28 16:56:00.346192,,5581.0
2023-06-28 16:56:02.533952,,5582.0
2023-06-28 16:56:06.910360,,5581.0
2023-06-28 16:56:13.908237,,5580.0
2023-06-28 16:56:25.170428,,5579.0
2023-06-28 16:56:26.595603,,5576.0
2023-06-28 16:56:27.175362,,5579.0
2023-06-28 16:56:29.717493,,5578.0
2023-06-28 16:56:47.531227,,5580.0
2023-06-28 16:56:53.157831,,5578.0
2023-06-28 16:57:16.596378,,5577.0
2023-06-28 16:57:24.465693,,5576.0
2023-06-28 16:57:31.062586,,5577.0
2023-06-28 16:57:40.349941,,5576.0
2023-06-28 16:57:45.920851,,5575.0
2023-06-28 16:57:48.974848,,5576.0
2023-06-28 16:57:51.298446,,5577.0
2023-06-28 16:57:58.286881,,5578.0
2023-06-28 16:58:03.162499,,5576.0
2023-06-28 16:58:09.293820,,5578.0
2023-06-28 16:58:15.713149,,5576.0
2023-06-28 16:58:20.355301,,5578.0
2023-06-28 16:58:23.164467,,5577.0
2023-06-28 16:58:26.721656,,5578.0
2023-06-28 16:58:28.928269,,5581.0
2023-06-28 16:58:31.333238,,5582.0
2023-06-28 16:58:37.540374,,5581.0
2023-06-28 16:58:40.064124,,5582.0
2023-06-28 16:58:40.169057,,5583.0
2023-06-28 16:58:50.673335,,5580.0
2023-06-28 16:58:58.955051,,5581.0
2023-06-28 16:59:04.444865,,5579.0
2023-06-28 16:59:05.361297,,5580.0
2023-06-28 16:59:15.994097,,5581.0
2023-06-28 16:59:22.195052,,5580.0
2023-06-28 16:59:34.421877,,5579.0
2023-06-28 16:59:37.547176,,5578.0
2023-06-28 16:59:58.678691,,5579.0
2023-06-28 17:00:00.865884,,5577.0
2023-06-28 17:00:01.174693,,5578.0
2023-06-28 17:00:08.084913,,5577.0
2023-06-28 17:00:08.409902,,5576.0
2023-06-28 17:00:08.863018,,5575.0
2023-06-28 17:00:13.287565,,5576.0
2023-06-28 17:00:24.889477,,5579.0
2023-06-28 17:00:31.178161,,5576.0
