,timestamp,lp
2023-06-28 15:15:05.884247,,586.3
2023-06-28 15:15:06.108105,,586.55
2023-06-28 15:15:06.679155,,586.25
2023-06-28 15:15:08.108985,,586.55
2023-06-28 15:15:08.674700,,586.25
2023-06-28 15:15:09.122050,,586.6
2023-06-28 15:15:09.876716,,586.25
2023-06-28 15:15:10.112673,,586.3
2023-06-28 15:15:10.879191,,586.6
2023-06-28 15:15:12.114411,,586.3
2023-06-28 15:15:13.879611,,586.55
2023-06-28 15:15:14.880521,,586.3
2023-06-28 15:15:15.109631,,586.35
2023-06-28 15:15:15.885251,,586.6
2023-06-28 15:15:16.119106,,586.35
2023-06-28 15:15:05.884247,,586.3
2023-06-28 15:15:06.108105,,586.55
2023-06-28 15:15:06.679155,,586.25
2023-06-28 15:15:08.108985,,586.55
2023-06-28 15:15:08.674700,,586.25
2023-06-28 15:15:09.122050,,586.6
2023-06-28 15:15:09.876716,,586.25
2023-06-28 15:15:10.112673,,586.3
2023-06-28 15:15:10.879191,,586.6
2023-06-28 15:15:12.114411,,586.3
2023-06-28 15:15:13.879611,,586.55
2023-06-28 15:15:14.880521,,586.3
2023-06-28 15:15:15.109631,,586.35
2023-06-28 15:15:15.885251,,586.6
2023-06-28 15:15:16.119106,,586.35
2023-06-28 15:15:18.890368,,586.6
2023-06-28 15:15:19.896775,,586.35
2023-06-28 15:15:20.109641,,586.6
2023-06-28 15:15:20.888943,,586.35
2023-06-28 15:15:21.889652,,586.3
2023-06-28 15:15:22.118513,,586.35
2023-06-28 15:15:23.891151,,586.5
2023-06-28 15:15:24.895820,,586.65
2023-06-28 15:15:25.108688,,586.75
2023-06-28 15:15:25.905427,,586.45
2023-06-28 15:15:26.110099,,586.5
2023-06-28 15:15:26.903681,,586.4
2023-06-28 15:15:27.901856,,586.5
2023-06-28 15:15:28.900352,,586.4
2023-06-28 15:15:29.900724,,586.35
2023-06-28 15:15:30.903455,,586.3
2023-06-28 15:15:31.111325,,586.35
2023-06-28 15:15:32.110252,,586.55
2023-06-28 15:15:34.107611,,586.5
2023-06-28 15:15:35.107712,,586.35
2023-06-28 15:15:37.113766,,586.3
2023-06-28 15:15:38.112292,,586.35
2023-06-28 15:15:39.115407,,586.25
2023-06-28 15:15:40.113223,,586.35
2023-06-28 15:15:41.129998,,586.25
2023-06-28 15:15:42.115595,,586.3
2023-06-28 15:15:42.320821,,586.45
2023-06-28 15:15:43.112791,,586.25
2023-06-28 15:15:45.114608,,586.35
2023-06-28 15:15:45.326476,,586.45
2023-06-28 15:15:46.132878,,586.25
2023-06-28 15:15:47.115959,,586.5
2023-06-28 15:15:47.322026,,586.35
2023-06-28 15:15:48.116082,,586.5
2023-06-28 15:15:48.322955,,586.3
2023-06-28 15:15:49.114811,,586.5
2023-06-28 15:15:49.324458,,586.3
2023-06-28 15:15:50.326189,,586.5
2023-06-28 15:15:51.115771,,586.35
2023-06-28 15:15:51.326637,,586.4
2023-06-28 15:15:52.168310,,586.35
2023-06-28 15:15:53.120434,,586.3
2023-06-28 15:15:53.533431,,586.55
2023-06-28 15:15:53.739383,,586.3
2023-06-28 15:15:54.930289,,586.35
2023-06-28 15:15:56.117741,,586.55
2023-06-28 15:15:56.942229,,586.5
2023-06-28 15:15:57.116121,,586.35
2023-06-28 15:15:58.119498,,586.55
2023-06-28 15:15:59.122876,,586.45
2023-06-28 15:16:00.119259,,586.4
2023-06-28 15:16:01.118143,,586.5
2023-06-28 15:16:02.129519,,586.4
2023-06-28 15:16:04.126278,,586.5
2023-06-28 15:16:04.349140,,586.4
2023-06-28 15:16:05.117662,,586.35
2023-06-28 15:16:06.119793,,586.5
2023-06-28 15:16:06.547528,,586.35
2023-06-28 15:16:07.549907,,586.6
2023-06-28 15:16:08.121553,,586.35
2023-06-28 15:16:08.549287,,586.3
